ra,decl
51.921529808663486,-33.9147526211251
51.92151994369835,-33.91477709394997
51.92150987246025,-33.91480259008985
51.92149960049486,-33.914829170449146
51.92148913718544,-33.91485689771472
51.92147849669421,-33.91488583570071
51.921467699098365,-33.91491604842274
51.921456771752545,-33.91494759882669
51.92144575091127,-33.91498054708121
51.92143468364343,-33.915014948326025
51.92142363006588,-33.91505084975171
51.92141266591157,-33.91508828687185
51.92140188542645,-33.91512727884164
51.92139140455479,-33.915167822681916
51.921381364319096,-33.91520988629589
51.92137193422409,-33.915253400228025
51.92136331540917,-33.915298248227565
51.92135574313946,-33.91534425686054
51.92134948806716,-33.915391184678775
51.92134485552869,-33.91543871180926
51.9213421820035,-33.91548643125814
51.92134182780198,-33.91553384367947
51.921344165149506,-33.915580357738996
51.92134956117521,-33.9156252983497
51.92135835596338,-33.91566792477093
51.92137083678078,-33.91570745966365
51.92138721074023,-33.91574312860851
51.92140757923747,-33.915774207465205
51.92143191813779,-33.915800072715605
51.921460067523896,-33.915820248254185
51.9214917336644,-33.91583444165878
51.921526503866794,-33.91584256419212
51.92156387253107,-33.91584473150392
51.921603274699464,-33.91584124550725
51.92164412228713,-33.91583256117205
51.92168583822762,-33.91581924411741
51.92172788481388,-33.91580192546815
51.92176978411282,-33.91578125960962
51.92181112996604,-33.91575788875701
51.921851592376896,-33.91573241629134
51.92189091585163,-33.91570538910491
51.921928913529804,-33.91567728800831
51.92196545883646,-33.91564852461954
51.922000476075844,-33.91561944298025
51.922033931001835,-33.91559032427261
51.92206582203426,-33.915561393293565
51.92209617248973,-33.91553282567447
51.922125023974836,-33.91550475514392
51.92215243094276,-33.91547728038984
51.922178456326854,-33.9154504712725
51.92220316812105,-33.91542437427943
51.92222663676241,-33.91539901720428
51.92224893317397,-33.915374413087726
51.92227012733892,-33.91535056348842
51.92229028729435,-33.91532746116508
51.58500947845039,-33.786105092252996
51.58502776315806,-33.786083438014
51.58504520046398,-33.7860624762315
51.585061846003136,-33.786042182313395
51.58507775199179,-33.786022530156636
51.58509296729106,-33.7860034928188
51.58510753751907,-33.78598504303432
51.5851215051946,-33.78596715360643
51.585134909899985,-33.78594979770023
