ra,decl
51.79662184614873,-33.81589629543091
51.796487709539164,-33.816174073208686
51.79638995058379,-33.81645185098646
51.796386956521744,-33.81646058396908
51.79625552428473,-33.81672962876424
51.796160505590706,-33.81700740654202
51.79610917874396,-33.81717518685839
51.79605959884394,-33.8172851843198
51.79597978641677,-33.817562962097576
51.795940914770895,-33.81784073987535
51.79605225326453,-33.81811851765313
51.79610917874396,-33.818151791275014
51.796269054982375,-33.81811851765313
51.796386956521744,-33.81810173088516
51.79666473429952,-33.81799785937091
51.79690424220952,-33.81784073987535
51.7969425120773,-33.81781955657635
51.797220289855076,-33.81760159424889
51.79725572138644,-33.817562962097576
51.797497527160424,-33.8172851843198
51.79749806763285,-33.81728459495728
51.79771922818035,-33.81700740654202
51.797775845410634,-33.816924719510965
51.797911297343724,-33.81672962876424
51.798053383811514,-33.81645185098646
51.79805362318841,-33.81645144585189
51.798238900435905,-33.816174073208686
51.798331400966184,-33.815975090133314
51.798380957787316,-33.81589629543091
51.79853384131859,-33.81561851765313
51.798609178743966,-33.8154396581379
51.798670233657155,-33.81534073987535
51.79880842818163,-33.81506296209758
51.79888695652174,-33.81485709008156
51.798929844672536,-33.814785184319796
51.799063981282096,-33.81450740654202
51.79916174023748,-33.814229628764245
51.79916473429952,-33.81422089578163
51.799296166536536,-33.81395185098646
51.79939118523056,-33.81367407320869
51.7994425120773,-33.81350629289232
51.79949209197733,-33.813396295430906
51.79957190440449,-33.81311851765313
51.799610776050365,-33.812840739875355
51.79949943755675,-33.81256296209757
51.7994425120773,-33.81252968847569
51.96564251207729,-33.80092968847569
51.96548263583889,-33.80096296209757
51.965364734299506,-33.800979748865544
51.96508695652173,-33.80108362037979
51.964847448611735,-33.801240739875354
51.964809178743955,-33.80126192317436
51.96453140096617,-33.80147988550182
51.964495969434815,-33.80151851765313
51.964254163660826,-33.801796295430904
51.9642536231884,-33.801796884793426
51.96403246264091,-33.802074073208686
51.96397584541062,-33.80215676023975
51.963840393477525,-33.80235185098646
51.96369830700974,-33.802629628764244
51.96369806763284,-33.80263003389883
51.96351279038535,-33.80290740654202
51.963420289855065,-33.8031063896174
51.96337073303394,-33.803185184319794
51.96321784950266,-33.803462962097576
51.96314251207729,-33.803641821612814
51.9630814571641,-33.80374073987535
51.96294326263963,-33.80401851765313
51.96286473429951,-33.80422438966916
51.96282184614872,-33.80429629543091
51.96268770953915,-33.804574073208684
51.96258995058378,-33.80485185098646
51.96258695652173,-33.80486058396908
51.96245552428472,-33.80512962876424
51.962360505590695,-33.80540740654202
51.96230917874395,-33.80557518685839
51.96225959884393,-33.8056851843198
51.96217978641676,-33.805962962097574
51.962140914770885,-33.80624073987535
51.962252253264516,-33.80651851765313
51.96230917874395,-33.80655179127501
51.962469054982364,-33.80651851765313
51.96258695652173,-33.80650173088516
51.96286473429951,-33.80639785937091
51.96310424220951,-33.80624073987535
51.96314251207729,-33.80621955657635
51.963420289855065,-33.80600159424889
51.96345572138643,-33.805962962097574
51.96369752716041,-33.8056851843198
51.96369806763284,-33.80568459495728
51.96391922818034,-33.80540740654202
51.96397584541062,-33.80532471951096
51.96411129734371,-33.80512962876424
51.9642533838115,-33.80485185098646
51.9642536231884,-33.80485144585189
51.964438900435894,-33.804574073208684
51.96453140096617,-33.80437509013331
51.964580957787305,-33.80429629543091
51.964733841318576,-33.80401851765313
51.964809178743955,-33.803839658137896
51.964870233657145,-33.80374073987535
51.96500842818162,-33.803462962097576
51.96508695652173,-33.80325709008156
51.965129844672525,-33.803185184319794
51.965263981282085,-33.80290740654202
51.96536174023747,-33.802629628764244
51.965364734299506,-33.80262089578163
51.965496166536525,-33.80235185098646
